time,envio_n,lat,lon,pm25,pm1,pm10,temp_pms,hum,vbat,csq,sats,speed_kmh
2025-09-20T12:41:55,1437.0,-33.431107,-70.603439,0.0,0.0,0.0,25.8,30.1,0.0,28.0,8.0,0.0
2025-09-20T12:41:52,1436.0,-33.43111,-70.603439,1.0,0.0,1.0,25.9,30.1,0.0,28.0,9.0,2.0
2025-09-20T12:41:49,1435.0,-33.431095,-70.603439,2.0,1.0,2.0,25.9,30.5,0.0,28.0,9.0,3.9
2025-09-20T12:41:46,1434.0,-33.431084,-70.603432,2.0,1.0,2.0,25.9,30.5,0.0,28.0,9.0,0.0
2025-09-20T12:41:43,1433.0,-33.431087,-70.603432,2.0,1.0,2.0,25.8,30.7,0.0,28.0,9.0,1.3
2025-09-20T12:41:39,1432.0,-33.431084,-70.603439,1.0,0.0,1.0,25.9,31.0,0.0,28.0,9.0,0.0
2025-09-20T12:41:37,1431.0,-33.431084,-70.603439,2.0,1.0,2.0,25.9,30.9,0.0,28.0,9.0,0.0
2025-09-20T12:41:34,1430.0,-33.431084,-70.603439,2.0,0.0,2.0,25.9,30.9,0.0,28.0,8.0,0.0
2025-09-20T12:41:30,1429.0,-33.431084,-70.603439,3.0,1.0,3.0,25.9,31.0,0.0,28.0,8.0,0.0
2025-09-20T12:41:27,1428.0,-33.431084,-70.603439,2.0,0.0,2.0,25.9,30.8,0.0,28.0,8.0,0.0
2025-09-20T12:41:24,1427.0,-33.431084,-70.603439,2.0,0.0,2.0,25.9,30.9,0.0,28.0,7.0,0.0
2025-09-20T12:41:21,1426.0,-33.431084,-70.603439,2.0,0.0,2.0,25.9,30.9,0.0,28.0,6.0,0.0
2025-09-20T12:41:18,1425.0,-33.431084,-70.603439,3.0,1.0,3.0,25.9,30.8,0.0,28.0,8.0,0.0
2025-09-20T12:41:15,1424.0,-33.431084,-70.603439,2.0,0.0,2.0,25.9,30.8,0.0,31.0,9.0,0.0
2025-09-20T12:41:12,1423.0,-33.431084,-70.603439,2.0,1.0,2.0,25.9,30.9,0.0,31.0,8.0,0.0
2025-09-20T12:41:09,1422.0,-33.431087,-70.603439,1.0,0.0,1.0,25.9,30.7,0.0,31.0,8.0,1.6
2025-09-20T12:41:06,1421.0,-33.431084,-70.603439,1.0,0.0,1.0,25.9,30.8,0.0,31.0,8.0,3.2
2025-09-20T12:41:03,1420.0,-33.431126,-70.603416,2.0,1.0,2.0,25.9,30.6,0.0,31.0,8.0,10.4
2025-09-20T12:41:00,1419.0,-33.43121,-70.603386,3.0,1.0,3.0,25.9,30.8,0.0,31.0,8.0,15.0
2025-09-20T12:40:57,1418.0,-33.431293,-70.603279,3.0,1.0,3.0,25.9,30.6,0.0,31.0,7.0,21.1
2025-09-20T12:40:54,1417.0,-33.431332,-70.602928,2.0,0.0,2.0,25.9,30.7,0.0,31.0,6.0,27.8
2025-09-20T12:40:51,1416.0,-33.431324,-70.602707,3.0,1.0,3.0,25.9,30.4,0.0,31.0,7.0,17.3
