time,envio_n,lat,lon,pm25,pm1,pm10,temp_pms,hum,vbat,csq,sats,speed_kmh
2025-10-16T09:32:11,660.0,-24.754925,-65.395653,27.0,19.0,29.0,28.4,33.8,4.147,25.0,5.0,0.0
2025-10-16T09:32:08,659.0,-24.754925,-65.395653,28.0,19.0,28.0,28.4,34.1,4.147,25.0,6.0,0.0
2025-10-16T09:32:05,658.0,-24.754925,-65.39566,28.0,19.0,28.0,28.4,34.5,4.147,25.0,6.0,0.0
2025-10-16T09:32:01,657.0,-24.754925,-65.39566,27.0,18.0,27.0,28.4,34.8,4.123,25.0,5.0,0.0
2025-10-16T09:31:58,656.0,-24.754925,-65.39566,27.0,18.0,27.0,28.4,34.8,4.123,25.0,6.0,0.0
2025-10-16T09:31:55,655.0,-24.754925,-65.39566,27.0,18.0,27.0,28.4,34.9,4.163,25.0,7.0,0.0
2025-10-16T09:31:52,654.0,-24.754923,-65.395668,27.0,18.0,27.0,28.4,35.0,4.163,25.0,7.0,0.0
2025-10-16T09:31:48,653.0,-24.754925,-65.395668,29.0,19.0,29.0,28.4,35.2,4.163,25.0,6.0,0.0
2025-10-16T09:31:45,652.0,-24.754925,-65.395676,29.0,19.0,29.0,28.4,35.4,4.163,25.0,7.0,0.0
2025-10-16T09:31:42,651.0,-24.754932,-65.395691,27.0,18.0,27.0,28.4,35.8,4.163,25.0,7.0,1.7
2025-10-16T09:31:39,nan,-24.754974,-65.395714,28.0,18.0,28.0,28.4,36.0,,25.0,7.0,0.0
