fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],Metadatos Estacion [ID (String)],Metadatos Estacion [Latitud (°)],Metadatos Estacion [Longitud (°)],Metadatos Estacion [Numero de envios (Numeral)],Metadatos Estacion [Registro SD (Bool)],PMS5003 [Grados celcius (°C)],PMS5003 [Humedad (%)],PMS5003 [Material particulado PM 1.0 (µg/m³)],PMS5003 [Material particulado PM 10 (µg/m³)],PMS5003 [Material particulado PM 2.5 (µg/m³)],SIM7600G [Intensidad señal telefónica (Adimensional)],SIM7600G [Latitud (°)],SIM7600G [Longitud (°)],SIM7600G [Satelites (int)],SIM7600G [Velocidad_km/h (km/h)]
2025-09-16T02:59:45,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.165,1.0,-33.457817,-70.63044,22.0,1.0,34.5,28.4,2.0,4.0,4.0,22.0,-33.457817,-70.63044,6.0,0.0
2025-09-16T02:59:48,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.089,1.0,-33.457821,-70.630424,23.0,1.0,34.5,28.2,1.0,3.0,3.0,22.0,-33.457821,-70.630424,5.0,0.0
2025-09-16T02:59:51,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.944,1.0,-33.457817,-70.630424,24.0,1.0,34.75,28.1,3.0,5.0,5.0,22.0,-33.457817,-70.630424,5.0,0.0
2025-09-16T02:59:54,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.946,1.0,-33.457817,-70.630424,25.0,1.0,34.5,28.3,2.0,4.0,4.0,22.0,-33.457817,-70.630424,7.0,0.0
2025-09-16T02:59:57,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.926,1.0,-33.457813,-70.630424,26.0,1.0,34.75,28.1,2.0,4.0,4.0,22.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:00,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.979,1.0,-33.457813,-70.630424,27.0,1.0,34.75,28.2,2.0,4.0,4.0,22.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:03,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.004,1.0,-33.457813,-70.630424,28.0,1.0,34.5,28.2,1.0,3.0,3.0,21.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:06,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.004,1.0,-33.457813,-70.630424,29.0,1.0,34.75,28.1,3.0,5.0,5.0,21.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:09,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.024,1.0,-33.457813,-70.630424,30.0,1.0,34.5,28.1,2.0,4.0,4.0,22.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:12,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.75,1.0,-33.457813,-70.630424,31.0,1.0,34.75,28.1,3.0,5.0,5.0,22.0,-33.457813,-70.630424,6.0,0.0
2025-09-16T03:00:15,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.85,1.0,-33.457813,-70.630424,32.0,1.0,34.75,28.1,2.0,5.0,5.0,22.0,-33.457813,-70.630424,5.0,0.0
2025-09-16T03:00:18,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.121,1.0,-33.457813,-70.630424,33.0,1.0,34.5,28.0,1.0,4.0,4.0,22.0,-33.457813,-70.630424,6.0,0.0
2025-09-16T03:00:21,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.583,1.0,-33.457813,-70.630424,34.0,1.0,34.75,28.1,1.0,4.0,4.0,23.0,-33.457813,-70.630424,8.0,0.0
2025-09-16T03:00:24,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.237,1.0,-33.457813,-70.630424,35.0,1.0,34.75,27.9,2.0,5.0,5.0,23.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:27,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.163,1.0,-33.457813,-70.630424,36.0,1.0,34.75,28.1,1.0,4.0,4.0,21.0,-33.457813,-70.630424,6.0,0.0
2025-09-16T03:00:30,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.135,1.0,-33.457813,-70.630424,37.0,1.0,34.75,28.0,1.0,4.0,4.0,21.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:33,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.983,1.0,-33.457813,-70.630424,38.0,1.0,34.75,28.0,2.0,5.0,5.0,21.0,-33.457813,-70.630424,7.0,0.0
2025-09-16T03:00:36,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.948,1.0,-33.457813,-70.630424,39.0,1.0,34.75,28.1,1.0,4.0,4.0,21.0,-33.457813,-70.630424,6.0,0.0
2025-09-16T03:00:39,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.122,1.0,-33.457813,-70.630424,40.0,1.0,34.75,28.3,2.0,5.0,4.0,22.0,-33.457813,-70.630424,6.0,0.0
2025-09-16T03:00:42,Sin sesión,,,,18,HIRIPRO-01,,0.0,4.0,1.0,-33.457809,-70.630424,41.0,1.0,34.75,28.0,1.0,4.0,3.0,22.0,-33.457809,-70.630424,6.0,0.0
2025-09-16T03:00:45,Sin sesión,,,,18,HIRIPRO-01,,0.0,3.835,1.0,-33.457809,-70.630424,42.0,1.0,34.75,28.2,2.0,4.0,4.0,26.0,-33.457809,-70.630424,6.0,0.0
